name,ageGroup
Ethan Thompson,Tigers
Mason Rodriguez,Tigers
Lucas Chen,Tigers
Oliver Johnson,Tigers
William Davis,Wolves
James Wilson,Wolves
Benjamin Brown,Wolves
Alexander Miller,Wolves
Noah Anderson,Wolves
Liam Garcia,Bears
Jackson Martinez,Bears
Aiden Taylor,Bears
Cameron White,Bears
Dylan Thomas,Bears
Logan Jackson,Webelos
Ryan Lee,Webelos
Connor Harris,Webelos
Austin Clark,Webelos
Tyler Lewis,Webelos
Blake Walker,Arrow of Light
Jordan Hall,Arrow of Light
Trevor Young,Arrow of Light
Hunter King,Arrow of Light
Caleb Wright,Arrow of Light
Michael Smith Sr.,Adults
David Johnson Sr.,Adults
Robert Brown Sr.,Adults
Christopher Davis Sr.,Adults
